Date,Tournament,Category,Round,Opponent,Score,Opp Score,"Result (Won = 1, Lost = 0)"
23/09/2012,Shanghai Masters,RN,Final,John Higgins,9,10,0
22/09/2012,Shanghai Masters,RN,Semi Final,Mark Williams,6,4,1
21/09/2012,Shanghai Masters,RN,Quarter Final,Graeme Dott,5,4,1
20/09/2012,Shanghai Masters,RN,Last 16,Mark Allen,5,2,1
19/09/2012,Shanghai Masters,RN,Last 32,Barry Hawkins,5,3,1
9/9/2012,England Players Tour Championship 3,PTC,Last 16,Robert Milkins,1,4,0
9/9/2012,England Players Tour Championship 3,PTC,Last 32,Joe Swail,4,2,1
9/9/2012,England Players Tour Championship 3,PTC,Last 64,Anda Zhang,4,0,1
9/9/2012,England Players Tour Championship 3,PTC,Last 128,Anthony McGill,4,1,1
26/08/2012,Paul Hunter Classic,PTC,Last 32,Barry Hawkins,3,4,0
26/08/2012,Paul Hunter Classic,PTC,Last 64,Liang Wenbo,4,1,1
26/08/2012,Paul Hunter Classic,PTC,Last 128,Hossein Vafaei,,,1
12/8/2012,England Players Tour Championship 2,PTC,Last 16,Ryan Day,2,4,0
12/8/2012,England Players Tour Championship 2,PTC,Last 32,Tony Drago,4,1,1
12/8/2012,England Players Tour Championship 2,PTC,Last 64,Mark King,4,3,1
12/8/2012,England Players Tour Championship 2,PTC,Last 128,Rhys Clark,4,1,1
22/07/2012,England Players Tour Championship 1,PTC,Quarter Final,Jack Lisowski,3,4,0
22/07/2012,England Players Tour Championship 1,PTC,Last 16,Luca Brecel,4,1,1
22/07/2012,England Players Tour Championship 1,PTC,Last 32,Craig Steadman,4,2,1
22/07/2012,England Players Tour Championship 1,PTC,Last 64,Marcus Campbell,4,1,1
22/07/2012,England Players Tour Championship 1,PTC,Last 128,Gareth Green,4,0,1
28/06/2012,Wuxi Classic,RN,Last 16,Robert Milkins,3,5,0
27/06/2012,Wuxi Classic,RN,Last 32,Dominic Dale,5,1,1
30/04/2012,World Championships,WC,Last 16,Ali Carter,12,13,0
25/04/2012,World Championships,WC,Last 32,Dominic Dale,10,7,1
30/03/2012,China Open,RN,Quarter Final,Stephen Lee,3,5,0
29/03/2012,China Open,RN,Last 16,Stuart Bingham,5,3,1
27/03/2012,China Open,RN,Last 32,Jimmy White,5,3,1
16/03/2012,Players Tour Championship Finals,PTF,Last 16,Xiao Guodong,2,4,0
1/3/2012,World Open,RN,Last 16,Mark Allen,4,5,0
28/02/2012,World Open,RN,Last 32,Andrew Higginson,5,0,1
17/02/2012,Welsh Open,R,Quarter Final,Ronnie O Sullivan,3,5,0
16/02/2012,Welsh Open,R,Last 16,Stuart Bingham,4,1,1
13/02/2012,Welsh Open,R,Last 32,Fergal O Brien,4,0,1
3/2/2012,German Masters,R,Quarter Final,Stephen Maguire,4,5,0
2/2/2012,German Masters,R,Last 16,Mark Allen,5,2,1
2/2/2012,German Masters,R,Last 32,Paul Davison,5,1,1
18/12/2011,Euro Players Tour Championship 5,PTC,Quarter Final,Tom Ford,1,4,0
18/12/2011,Euro Players Tour Championship 5,PTC,Last 16,Jamie Cope,4,0,1
18/12/2011,Euro Players Tour Championship 5,PTC,Last 32,Alan McManus,4,2,1
18/12/2011,Euro Players Tour Championship 5,PTC,Last 64,David Morris,4,0,1
18/12/2011,Euro Players Tour Championship 5,PTC,Last 128,Sam Baird,4,0,1
11/12/2011,UK Championship,UK,Final,Mark Allen,10,8,1
9/12/2011,UK Championship,UK,Semi Final,Neil Robertson,9,7,1
8/12/2011,UK Championship,UK,Quarter Final,Stephen Maguire,6,3,1
6/12/2011,UK Championship,UK,Last 16,Ronnie O Sullivan,6,5,1
5/12/2011,UK Championship,UK,Last 32,Dominic Dale,6,4,1
30/11/2011,England Players Tour Championship 6,PTC,Last 128,Tian Pengfei,3,4,0
13/11/2011,Euro Players Tour Championship 4,PTC,Final,Ronnie O Sullivan,4,3,1
13/11/2011,Euro Players Tour Championship 4,PTC,Semi Final,Martin Gould,4,1,1
13/11/2011,Euro Players Tour Championship 4,PTC,Quarter Final,John Higgins,4,2,1
13/11/2011,Euro Players Tour Championship 4,PTC,Last 16,Tom Ford,4,0,1
13/11/2011,Euro Players Tour Championship 4,PTC,Last 32,Jimmy White,4,3,1
13/11/2011,Euro Players Tour Championship 4,PTC,Last 64,Craig Steadman,4,2,1
13/11/2011,Euro Players Tour Championship 4,PTC,Last 128,Martin O Donnell,4,1,1
23/10/2011,Euro Players Tour Championship 3,PTC,Final,Neil Robertson,1,4,0
23/10/2011,Euro Players Tour Championship 3,PTC,Semi Final,Mark Selby,4,1,1
23/10/2011,Euro Players Tour Championship 3,PTC,Quarter Final,Alan McManus,4,2,1
23/10/2011,Euro Players Tour Championship 3,PTC,Last 16,Stephen Lee,4,0,1
23/10/2011,Euro Players Tour Championship 3,PTC,Last 32,Marco Fu,4,0,1
23/10/2011,Euro Players Tour Championship 3,PTC,Last 64,Andrew Norman,4,2,1
23/10/2011,Euro Players Tour Championship 3,PTC,Last 128,Adam Wicheard,4,3,1
9/10/2011,England Players Tour Championship 5,PTC,Last 32,Ali Carter,3,4,0
9/10/2011,England Players Tour Championship 5,PTC,Last 64,Dave Gilbert,4,2,1
9/10/2011,England Players Tour Championship 5,PTC,Last 128,Ian Glover,4,2,1
2/10/2011,Euro Players Tour Championship 2,PTC,Quarter Final,Ricky Walden,3,4,0
2/10/2011,Euro Players Tour Championship 2,PTC,Last 16,Matt Selt,4,3,1
2/10/2011,Euro Players Tour Championship 2,PTC,Last 32,Alfie Burden,4,1,1
2/10/2011,Euro Players Tour Championship 2,PTC,Last 64,Tian Pengfei,4,3,1
2/10/2011,Euro Players Tour Championship 2,PTC,Last 128,Rafal Gorecki,4,0,1
25/09/2011,England Players Tour Championship 4,PTC,Last 32,Li Yan,1,4,0
25/09/2011,England Players Tour Championship 4,PTC,Last 64,Mark King,4,1,1
25/09/2011,England Players Tour Championship 4,PTC,Last 128,Marco Fu,4,2,1
7/9/2011,Shanghai Masters,RN,Last 32,Stuart Bingham,1,5,0
28/08/2011,Euro Players Tour Championship 1,PTC,Last 32,Andrew Higginson,3,4,0
28/08/2011,Euro Players Tour Championship 1,PTC,Last 64,James Wattana,4,1,1
28/08/2011,Euro Players Tour Championship 1,PTC,Last 128,Ashley Wright,4,0,1
21/08/2011,England Players Tour Championship 3,PTC,Last 32,Xiao Guodong,0,4,0
21/08/2011,England Players Tour Championship 3,PTC,Last 64,Shahram Changezi,4,1,1
21/08/2011,England Players Tour Championship 3,PTC,Last 128,Sam Harvey,4,0,1
10/8/2011,England Players Tour Championship 2,PTC,Final,Ding Junhui,4,0,1
10/8/2011,England Players Tour Championship 2,PTC,Semi Final,Fergal O Brien,4,0,1
10/8/2011,England Players Tour Championship 2,PTC,Quarter Final,Yu Delu,4,1,1
10/8/2011,England Players Tour Championship 2,PTC,Last 16,Neil Robertson,4,3,1
10/8/2011,England Players Tour Championship 2,PTC,Last 32,Mark Davis,4,2,1
10/8/2011,England Players Tour Championship 2,PTC,Last 64,Mark Allen,4,2,1
10/8/2011,England Players Tour Championship 2,PTC,Last 128,Justin Astley,4,2,1
18/07/2011,Australian Open,R,Last 32,Mark Davis,3,5,0
22/06/2011,England Players Tour Championship 1,PTC,Last 128,Dave Gilbert,1,4,0
2/5/2011,World Championships,WC,Final,John Higgins,15,18,0
30/04/2011,World Championships,WC,Semi Final,Ding Junhui,17,15,1
27/04/2011,World Championships,WC,Quarter Final,Graeme Dott,13,5,1
23/04/2011,World Championships,WC,Last 16,Martin Gould,13,6,1
16/04/2011,World Championships,WC,Last 32,Neil Robertson,10,8,1
3/4/2011,China Open,RN,Final,Mark Selby,10,8,1
2/4/2011,China Open,RN,Semi Final,Shaun Murphy,6,1,1
1/4/2011,China Open,RN,Quarter Final,Peter Ebdon,5,1,1
31/03/2011,China Open,RN,Last 16,Mark Davis,5,2,1
30/03/2011,China Open,RN,Last 32,Marco Fu,5,3,1
20/03/2011,Players Tour Championship Finals,PTF,Last 16,Martin Gould,2,4,0
13/03/2011,World Championships,WC,Last 48,Dave Gilbert,10,4,1
27/02/2011,China Open,RN,Last 48,Ben Woollaston,5,1,1
11/2/2011,Welsh Open,R,Last 48,Rod Lawler,1,4,0
3/2/2011,German Masters,R,Last 32,Stephen Hendry,2,5,0
17/12/2010,German Masters,R,Last 48,Jimmy Robertson,5,3,1
7/12/2010,UK Championship,UK,Last 16,Mark Joyce,7,9,0
6/12/2010,UK Championship,UK,Last 32,Jamie Cope,9,6,1
30/11/2010,UK Championship,UK,Last 48,Xiao Guodong,9,7,1
21/11/2010,Euro Players Tour Championship 6,PTC,Last 128,Adam Wicheard,2,4,0
14/11/2010,Euro Players Tour Championship 5,PTC,Last 16,Graeme Dott,0,4,0
14/11/2010,Euro Players Tour Championship 5,PTC,Last 32,Anthony McGill,4,0,1
14/11/2010,Euro Players Tour Championship 5,PTC,Last 64,Rory McLeod,4,2,1
31/10/2010,Euro Players Tour Championship 4,PTC,Last 32,Shaun Murphy,0,4,0
31/10/2010,Euro Players Tour Championship 4,PTC,Last 64,Thanawat Tirapongpaiboon,4,1,1
31/10/2010,Euro Players Tour Championship 4,PTC,Last 128,Les Dodd,4,1,1
24/10/2010,Euro Players Tour Championship 3,PTC,Quarter Final,Marcus Campbell,1,4,0
24/10/2010,Euro Players Tour Championship 3,PTC,Last 16,Stuart Bingham,4,3,1
24/10/2010,Euro Players Tour Championship 3,PTC,Last 32,James Wattana,4,2,1
24/10/2010,Euro Players Tour Championship 3,PTC,Last 64,David Morris,4,1,1
24/10/2010,Euro Players Tour Championship 3,PTC,Last 128,Noppon Saengkham,4,1,1
17/10/2010,England Players Tour Championship 6,PTC,Last 32,Graeme Dott,1,4,0
17/10/2010,England Players Tour Championship 6,PTC,Last 64,Alfie Burden,4,2,1
17/10/2010,England Players Tour Championship 6,PTC,Last 128,Lucky Vatnani,4,0,1
10/10/2010,England Players Tour Championship 5,PTC,Last 128,Adam Duffy,1,4,0
3/10/2010,Euro Players Tour Championship 2,PTC,Last 32,Liang Wenbo,0,4,0
3/10/2010,Euro Players Tour Championship 2,PTC,Last 64,Chris Norbury,4,1,1
3/10/2010,Euro Players Tour Championship 2,PTC,Last 128,Jak Jones,4,0,1
22/09/2010,World Open,RN,Last 32,Stephen Maguire,2,3,0
7/9/2010,Shanghai Masters,RN,Last 32,Stephen Maguire,3,5,0
29/08/2010,Euro Players Tour Championship 1,PTC,Final,Anthony Hamilton,4,3,1
29/08/2010,Euro Players Tour Championship 1,PTC,Semi Final,Shaun Murphy,4,2,1
29/08/2010,Euro Players Tour Championship 1,PTC,Quarter Final,Jack Lisowski,4,0,1
29/08/2010,Euro Players Tour Championship 1,PTC,Last 16,Anthony McGill,4,2,1
29/08/2010,Euro Players Tour Championship 1,PTC,Last 32,Andrew Pagett,4,0,1
29/08/2010,Euro Players Tour Championship 1,PTC,Last 64,Peter Ebdon,4,2,1
29/08/2010,Euro Players Tour Championship 1,PTC,Last 128,Michael Judge,4,0,1
24/08/2010,World Open,RN,Last 64,Thanawat Tirapongpaiboon,3,0,1
16/08/2010,England Players Tour Championship 4,PTC,Last 16,Ronnie O Sullivan,0,4,0
16/08/2010,England Players Tour Championship 4,PTC,Last 32,Anthony McGill,4,0,1
16/08/2010,England Players Tour Championship 4,PTC,Last 64,Dermot McGlinchey,4,0,1
16/08/2010,England Players Tour Championship 4,PTC,Last 128,David Grace,4,1,1
8/8/2010,England Players Tour Championship 3,PTC,Last 16,Mark Selby,3,4,0
8/8/2010,England Players Tour Championship 3,PTC,Last 32,Michael White,4,3,1
8/8/2010,England Players Tour Championship 3,PTC,Last 64,Mitchell Travis,4,2,1
8/8/2010,England Players Tour Championship 3,PTC,Last 128,Michael Holt,4,1,1
5/8/2010,Shanghai Masters,RN,Last 48,Tom Ford,5,1,1
10/7/2010,England Players Tour Championship 2,PTC,Last 32,Liam Highfield,2,4,0
10/7/2010,England Players Tour Championship 2,PTC,Last 64,Joe Perry,4,1,1
10/7/2010,England Players Tour Championship 2,PTC,Last 128,Dave Gilbert,4,2,1
27/06/2010,England Players Tour Championship 1,PTC,Last 16,Mark Williams,0,4,0
26/06/2010,England Players Tour Championship 1,PTC,Last 32,Paul Davison,4,2,1
26/06/2010,England Players Tour Championship 1,PTC,Last 64,Liam Highfield,4,2,1
26/06/2010,England Players Tour Championship 1,PTC,Last 128,Jak Jones,4,1,1
31/03/2010,China Open,RN,Last 32,Peter Ebdon,4,5,0
8/3/2010,World Championships,WC,Last 48,Tom Ford,3,10,0
5/2/2010,China Open,RN,Last 48,Tom Ford,5,1,1
27/01/2010,Welsh Open,R,Last 32,Mark Selby,2,5,0
22/01/2010,Welsh Open,R,Last 48,Rory McLeod,5,4,1
6/12/2009,UK Championship,T2,Last 32,Peter Ebdon,4,9,0
30/11/2009,UK Championship,T2,Last 48,Mark Davis,9,7,1
29/10/2009,Masters Qualifier,Q,Last 32,Andrew Higginson,1,5,0
24/09/2009,Grand Prix,RN,Last 48,Marcus Campbell,3,5,0
6/8/2009,Shanghai Masters,RN,Last 48,Marcus Campbell,2,5,0
30/03/2009,China Open,R,Last 39,Tang Jun,3,5,0
9/3/2009,World Championships,WC,Last 48,Stephen Lee,8,10,0
4/3/2009,World Championships,WC,Last 64,Joe Delaney,10,1,1
5/2/2009,Welsh Open,R,Last 64,Barry Pinches,3,5,0
24/01/2009,China Open,R,Last 48,Ken Doherty,5,0,1
24/01/2009,China Open,R,Last 64,Kuldesh Johal,5,3,1
21/12/2008,UK Championship,UK,Last 32,Mark King,8,9,0
21/12/2008,UK Championship,UK,Last 48,Michael Judge,9,6,1
21/12/2008,UK Championship,UK,Last 64,Jin Long,9,8,1
26/11/2008,Masters Qualifier,Q,Final,Mark Joyce,6,1,1
26/11/2008,Masters Qualifier,Q,Semi Final,Ken Doherty,5,2,1
26/11/2008,Masters Qualifier,Q,Quarter Final,Jin Long,5,1,1
26/11/2008,Masters Qualifier,Q,Last 16,Jamie Cope,5,2,1
26/11/2008,Masters Qualifier,Q,Last 32,Dave Harold,5,3,1
26/11/2008,Masters Qualifier,Q,Last 64,Matthew Couch,4,0,1
15/11/2008,Bahrain Championship,R,Last 32,Mark Allen,1,5,0
15/11/2008,Bahrain Championship,R,Last 48,Mark Williams,5,2,1
15/11/2008,Bahrain Championship,R,Last 64,Vincent Muldoon,5,4,1
19/10/2008,Grand Prix,GP,Semi Final,John Higgins,4,6,0
19/10/2008,Grand Prix,GP,Quarter Final,Ronnie O Sullivan,5,4,1
19/10/2008,Grand Prix,GP,Last 16,Joe Perry,5,2,1
19/10/2008,Grand Prix,GP,Last 32,Graeme Dott,,,1
19/10/2008,Grand Prix,GP,Last 48,Stephen Lee,5,2,1
19/10/2008,Grand Prix,GP,Last 64,Aditya Mehta,5,1,1
5/10/2008,Shanghai Masters,R,Last 32,Mark Selby,1,5,0
5/10/2008,Shanghai Masters,R,Last 48,Joe Swail,5,3,1
5/10/2008,Shanghai Masters,R,Last 39,A Bu La Jiang,5,4,1
5/10/2008,Shanghai Masters,R,Last 64,Andy Lee,5,2,1
31/08/2008,Northern Ireland Trophy,R,Last 48,Stephen Lee,3,5,0
31/08/2008,Northern Ireland Trophy,R,Last 64,Mark Joyce,5,0,1
10/3/2008,World Championships,WC,Last 48,Joe Swail,9,10,0
17/02/2008,Welsh Open,R,Last 32,Ronnie O Sullivan,3,5,0
17/02/2008,Welsh Open,R,Last 48,Joe Swail,5,2,1
28/01/2008,Welsh Open,R,Last 64,Andy Hicks,5,2,1
28/01/2008,Welsh Open,R,Last 80,Martin Gould,5,1,1
25/01/2008,China Open,R,Last 64,Fergal O Brien,1,5,0
25/01/2008,China Open,R,Last 80,Mark Joyce,5,4,1
11/1/2008,World Championships,WC,Last 64,Jamie Burnett,10,2,1
11/1/2008,World Championships,WC,Last 80,Rodney Goggins,10,4,1
16/12/2007,UK Championship,UK,Last 80,Rodney Goggins,8,9,0
11/11/2007,Northern Ireland Trophy,R,Last 64,Alan McManus,0,5,0
11/11/2007,Northern Ireland Trophy,R,Last 80,Jimmy Robertson,5,1,1
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Alfie Burden,1,4,0
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Liang Wenbo,3,4,0
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Rory McLeod,2,4,0
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Patrick Wallace,4,2,1
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Jamie O Neill,4,2,1
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Andrew Norman,1,4,0
21/10/2007,Grand Prix,GP,Last 96 Group (8th),Rod Lawler,4,2,1
12/9/2007,Masters Qualifier,Q,Last 32,Kurt Maflin,4,5,0
12/9/2007,Masters Qualifier,Q,Last 64,Matt Selt,4,2,1
12/8/2007,Shanghai Masters,R,Last 64,Adrian Gunnell,4,5,0
12/8/2007,Shanghai Masters,R,Last 80,Gareth Coppack,5,1,1
7/5/2007,World Championships,WC,Last 32,Shaun Murphy,6,10,0
7/5/2007,World Championships,WC,Last 48,James Wattana,10,5,1
7/5/2007,World Championships,WC,Last 64,Jamie Cope,10,7,1
7/5/2007,World Championships,WC,Last 80,Shokat Ali,10,7,1
7/5/2007,World Championships,WC,Last 96,Bradley Jones,10,8,1
18/02/2007,Welsh Open,R,Last 80,Jimmy Michie,2,5,0
18/02/2007,Welsh Open,R,Last 96,Mark Boyle,5,2,1
16/12/2006,UK Championship,UK,Last 64,Rod Lawler,7,9,0
16/12/2006,UK Championship,UK,Last 80,David Roe,9,2,1
16/12/2006,UK Championship,UK,Last 96,Patrick Einsle,9,0,1
9/11/2006,Masters Qualifier,Q,Last 32,David Gray,4,5,0
9/11/2006,Masters Qualifier,Q,Last 64,Andrew Higginson,4,2,1
20/08/2006,Northern Ireland Trophy,R,Last 64,Gerard Greene,2,5,0
20/08/2006,Northern Ireland Trophy,R,Last 80,Scott MacKenzie,5,0,1
20/08/2006,Northern Ireland Trophy,R,Last 96,Passakorn Suwannawat,5,3,1
2/5/2006,World Championships,WC,Last 80,Mike Dunn,7,10,0
2/5/2006,World Championships,WC,Last 96,Leo Fernandez,10,8,1
5/3/2006,Welsh Open,R,Last 48,Robert Milkins,3,5,0
5/3/2006,Welsh Open,R,Last 64,Adrian Gunnell,5,1,1
5/3/2006,Welsh Open,R,Last 80,Lee Walker,5,1,1
5/3/2006,Welsh Open,R,Last 96,Rod Lawler,5,3,1
23/11/2005,Masters Qualifier,Q,Last 32,Michael Holt,2,5,0
23/11/2005,Masters Qualifier,Q,Last 48,Dave Harold,4,2,1
